city,latitude,country
Abu Dhabi,24.47,United Arab Emirates
Abuja,9.07,Nigeria
Accra,5.55,Ghana
Adamstown,-25.07,Pitcairn Islands
Addis Ababa,9.02,Ethiopia
Algiers,36.77,Algeria
Alofi,-19.07,Niue
Amman,31.93,Jordan
Amsterdam,52.37,Netherlands
Andorra la Vella,42.5,Andorra
Ankara,39.87,Turkey
Antananarivo,-18.93,Madagascar
Apia,-13.83,Samoa
Ashgabat,37.93,Turkmenistan
Asmara,15.33,Eritrea
Asuncion,-25.27,Paraguay
Athens,37.97,Greece
Avarua,-21.2,Cook Islands
Baghdad,33.33,Iraq
Baku,40.38,Azerbaijan
Bamako,12.65,Mali
Bandar Seri Begawan,4.88,Brunei
Bangkok,13.75,Thailand
Bangui,4.37,Central African Republic
Banjul,13.45,Gambia
Basseterre,17.3,Saint Kitts and Nevis
Beijing,39.9,China
Beirut,33.88,Lebanon
Belgrade,44.82,Serbia
Belmopan,17.25,Belize
Berlin,52.52,Germany
Bern,46.95,Switzerland
Bishkek,42.87,Kyrgyzstan
Bissau,11.85,Guinea-Bissau
Bloemfontein(judicial),-29.12,South Africa
Bogota,4.58,Colombia
Brasilia,-15.78,Brazil
Bratislava,48.13,Slovakia
Brazzaville,-4.27,Republic of the Congo
Bridgetown,13.1,Barbados
Brussels,50.85,Belgium
Bucharest,44.42,Romania
Budapest,47.47,Hungary
Buenos Aires,-34.6,Argentina
Cairo,30.05,Egypt
Canberra,-35.3,Australia
Cape Town(legislative),-33.92,South Africa
Caracas,10.5,Venezuela
Castries,14.02,Saint Lucia
Cayenne,4.92,French Guiana
Charlotte Amalie,18.35,United States Virgin Islands
Chi-in-u,47,Moldova
Conakry,9.52,Guinea
Copenhagen,55.67,Denmark
Dakar,14.68,Senegal
Damascus,33.5,Syria
Dhaka,23.73,Bangladesh
Dili,-8.57,East Timor (Timor-Leste)
Djibouti,11.58,Djibouti
Dodoma(official),-6.17,Tanzania
Dar es Salaam(former capital; some government offices remaining),-6.17,Tanzania
Doha,25.28,Qatar
Douglas,54.13,Isle of Man
Dublin,53.33,Ireland
Dushanbe,38.53,Tajikistan
Edinburgh of the Seven Seas,-37.07,Tristan da Cunha
El Aaiun(declared),27.15,Sahrawi Arab Democratic Republic
Episkopi Cantonment,34.67,Akrotiri and Dhekelia
Flying Fish Cove,-10.42,Christmas Island
Freetown,8.48,Sierra Leone
Funafuti,-8.52,Tuvalu
Gaborone,-24.65,Botswana
George Town,19.3,Cayman Islands
Georgetown,-7.92,Ascension Island
Georgetown,6.8,Guyana
Gibraltar,36.13,Gibraltar
Gitega,-3.43,Burundi
Guatemala City,14.6,Guatemala
Gustavia,17.88,Saint Barthelemy
Hagatna,13.47,Guam
Hamilton,32.28,Bermuda
Hanga Roa,-27.15,Easter Island
Hanoi,21.03,Vietnam
Harare,-17.85,Zimbabwe
Hargeisa,10,Somaliland
Havana,23.13,Cuba
Helsinki,60.17,Finland
Honiara,-9.43,Solomon Islands
Islamabad,33.72,Pakistan
Jakarta,-6.2,Indonesia
Jamestown,-15.92,Saint Helena
Jerusalem(declared de facto),31.78,Israel
Juba,4.85,South Sudan
Kabul,34.53,Afghanistan
Kampala,0.3,Uganda
Kathmandu,27.7,Nepal
Khartoum,15.63,Sudan
Kigali,-1.93,Rwanda
King Edward Point,-54.27,South Georgia and the South Sandwich Islands
Kingston,17.98,Jamaica
Kingston,-29.05,Norfolk Island
Kingstown,13.15,Saint Vincent and the Grenadines
Kinshasa,-4.32,Democratic Republic of the Congo
Kuala Lumpur(official legislative and royal),3.13,Malaysia
Putrajaya(administrative and judicial),3.13,Malaysia
Kutaisi(legislative),42.25,Georgia
Kuwait City,29.37,Kuwait
Kiev,50.45,Ukraine
Libreville,0.38,Gabon
Lilongwe,-13.98,Malawi
Lima,-12.03,Peru
Lisbon,38.7,Portugal
Ljubljana,46.05,Slovenia
