month,day,moonphase,specialevent
january,1,,
january,2,first quarter,
january,3,,
january,4,,
january,5,,
january,6,,
january,7,,
january,8,,
january,9,,
january,10,full moon,
january,11,,
january,12,,
january,13,,
january,14,,
january,15,,
january,16,,
january,17,third quarter,
january,18,,
january,19,,
january,20,,
january,21,,
january,22,,
january,23,,
january,24,new moon,
january,25,,
january,26,,
january,27,,
january,28,,
january,29,,
january,30,,
january,31,,
february,1,first quarter,
february,2,,
february,3,,
february,4,,
february,5,,
february,6,,
february,7,,
february,8,full moon,
february,9,,
february,10,,
february,11,,
february,12,,
february,13,,
february,14,,
february,15,third quarter,
february,16,,
february,17,,
february,18,,
february,19,,
february,20,,
february,21,,
february,22,,
february,23,new moon,
february,24,,
february,25,,
february,26,,
february,27,,
february,28,,
february,29,,
march,1,,
march,2,first quarter,
march,3,,
march,4,,
march,5,,
march,6,,
march,7,,
march,8,,
march,9,full moon,super full moon
march,10,,
march,11,,
march,12,,
march,13,,
march,14,,
march,15,,
march,16,third quarter,
march,17,,
march,18,,
march,19,,
march,20,,
march,21,,
march,22,,
march,23,,
march,24,new moon,micro new moon
march,25,,
march,26,,
march,27,,
march,28,,
march,29,,
march,30,,
march,31,,
april,1,first quarter,
april,2,,
april,3,,
april,4,,
april,5,,
april,6,,
april,7,full moon,super full moon
april,8,,
april,9,,
april,10,,
april,11,,
april,12,,
april,13,,
april,14,third quarter,
april,15,,
april,16,,
april,17,,
april,18,,
april,19,,
april,20,,
april,21,,
april,22,new moon,
april,23,,
april,24,,
april,25,,
april,26,,
april,27,,
april,28,,
april,29,,
april,30,first quarter,
may,1,,
may,2,,
may,3,,
may,4,,
may,5,,
may,6,,
may,7,full moon,
may,8,,
may,9,,
may,10,,
may,11,,
may,12,,
may,13,,
may,14,third quarter,
may,15,,
may,16,,
may,17,,
may,18,,
may,19,,
may,20,,
may,21,,
may,22,new moon,
may,23,,
may,24,,
may,25,,
may,26,,
may,27,,
may,28,,
may,29,first quarter,
may,30,,
may,31,,
june,1,,
june,2,,
june,3,,
june,4,,
june,5,full moon,
june,6,,
june,7,,
june,8,,
june,9,,
june,10,,
june,11,,
june,12,third quarter,
june,13,,
june,14,,
june,15,,
june,16,,
june,17,,
june,18,,
june,19,,
june,20,new moon,
june,21,,
june,22,,
june,23,,
june,24,,
june,25,,
june,26,,
june,27,,
june,28,first quarter,
june,29,,
june,30,,
july,1,,
july,2,,
july,3,,
july,4,full moon,penumbral lunar eclipse
july,5,,
july,6,,
july,7,,
july,8,,
july,9,,
july,10,,
july,11,,
july,12,third quarter,
july,13,,
july,14,,
july,15,,
july,16,,
july,17,,
july,18,,
july,19,,
july,20,new moon,
july,21,,
july,22,,
july,23,,
july,24,,
july,25,,
july,26,,
july,27,first quarter,
july,28,,
july,29,,
july,30,,
july,31,,
august,1,,
august,2,,
august,3,full moon,
august,4,,
august,5,,
august,6,,
august,7,,
august,8,,
august,9,,
august,10,,
august,11,third quarter,
august,12,,
august,13,,
august,14,,
august,15,,
august,16,,
august,17,,
august,18,new moon,black moon
august,19,,
august,20,,
august,21,,
august,22,,
august,23,,
august,24,,
august,25,first quarter,
august,26,,
august,27,,
august,28,,
august,29,,
august,30,,
august,31,,
september,1,full moon,
september,2,,
september,3,,
september,4,,
september,5,,
september,6,,
september,7,,
september,8,,
september,9,,
september,10,third quarter,
september,11,,
september,12,,
september,13,,
september,14,,
september,15,,
september,16,,
september,17,new moon,
september,18,,
september,19,,
september,20,,
september,21,,
september,22,,
september,23,first quarter,
september,24,,
september,25,,
september,26,,
september,27,,
september,28,,
september,29,,
september,30,,
october,1,full moon,micro full moon
october,2,,
october,3,,
october,4,,
october,5,,
october,6,,
october,7,,
october,8,,
october,9,third quarter,
october,10,,
october,11,,
october,12,,
october,13,,
october,14,,
october,15,,
october,16,new moon,super new moon
october,17,,
october,18,,
october,19,,
october,20,,
october,21,,
october,22,,
october,23,first quarter,
october,24,,
october,25,,
october,26,,
october,27,,
october,28,,
october,29,,
october,30,,
october,31,full moon,"blue moon, micro full moon"
november,1,,
november,2,,
november,3,,
november,4,,
november,5,,
november,6,,
november,7,,
november,8,third quarter,
november,9,,
november,10,,
november,11,,
november,12,,
november,13,,
november,14,new moon,super new moon
november,15,,
november,16,,
november,17,,
november,18,,
november,19,,
november,20,,
november,21,first quarter,
november,22,,
november,23,,
november,24,,
november,25,,
november,26,,
november,27,,
november,28,,
november,29,,
november,30,full moon,penumbral lunar eclipse
december,1,,
december,2,,
december,3,,
december,4,,
december,5,,
december,6,,
december,7,third quarter,
december,8,,
december,9,,
december,10,,
december,11,,
december,12,,
december,13,,
december,14,new moon,
december,15,,
december,16,,
december,17,,
december,18,,
december,19,,
december,20,,
december,21,first quarter,
december,22,,
december,23,,
december,24,,
december,25,,
december,26,,
december,27,,
december,28,,
december,29,full moon,
december,30,,
december,31,,
