ID,Mission,Type,Subtype,Weight (g),Pristine (%)
10001,Apollo11,Soil,Unsieved,125.8,88.36
10002,Apollo11,Soil,Unsieved,5629,93.73
10003,Apollo11,Basalt,Ilmenite,213,65.56
10004,Apollo11,Core,Unsieved,44.8,71.76
10005,Apollo11,Core,Unsieved,53.4,40.31
10008,Apollo11,Soil,Unsieved,89,5.75
10009,Apollo11,Breccia,Regolith,112,97.27
10010,Apollo11,Soil,Unsieved,491,91.03
10011,Apollo11,Soil,Unsieved,82.6,62.01
10014,Apollo11,Soil,Unsieved,50,0
10015,Apollo11,Soil,Unsieved,0.4,35.44
10017,Apollo11,Basalt,Ilmenite,973,43.71
10018,Apollo11,Breccia,Regolith,213,97.71
10019,Apollo11,Breccia,Regolith,297,81.55
10020,Apollo11,Basalt,Ilmenite,425,27.88
10021,Apollo11,Breccia,Regolith,250,30.21
10022,Apollo11,Basalt,Ilmenite,95.59,42.19
10023,Apollo11,Breccia,Regolith,66,29.15
10024,Apollo11,Basalt,Ilmenite,68.12,40.06
10025,Apollo11,Breccia,Regolith,8.59,0
10026,Apollo11,Breccia,Regolith,9.25,0
10027,Apollo11,Breccia,Regolith,8.87,0
10028,Apollo11,Breccia,Regolith,3.53,85.89
10029,Apollo11,Basalt,Ilmenite,5.53,0
10030,Apollo11,Breccia,Regolith,1.81,96.69
10031,Apollo11,Basalt,Ilmenite,2.7,90.74
10032,Apollo11,Basalt,Ilmenite,3.13,0
10033,Apollo11,Soil,Unsieved,1.12,0
10044,Apollo11,Basalt,Cristobalite,247.5,50.43
10045,Apollo11,Basalt,Olivine,185,12.13
10046,Apollo11,Breccia,Regolith,663,65.6
10047,Apollo11,Basalt,Ilmenite,138,33.49
10048,Apollo11,Breccia,Regolith,579,63.97
10049,Apollo11,Basalt,Ilmenite,193,70.13
10050,Apollo11,Basalt,Ilmenite,114.5,49.05
10054,Apollo11,Soil,Unsieved,0,0
10056,Apollo11,Breccia,Regolith,185.04,95.85
10057,Apollo11,Basalt,Ilmenite,919,35.15
10058,Apollo11,Basalt,Ilmenite,282,87.95
10059,Apollo11,Breccia,Regolith,188,36.94
10060,Apollo11,Breccia,Regolith,722,82.76
10061,Apollo11,Breccia,Regolith,346,68.67
10062,Apollo11,Basalt,Ilmenite,78.5,35.07
10063,Apollo11,Breccia,Regolith,148,92.6
10064,Apollo11,Breccia,Regolith,65,75.6
10065,Apollo11,Breccia,Regolith,347,66.47
10066,Apollo11,Breccia,Regolith,40,93.05
10067,Apollo11,Breccia,Regolith,69.3,68.92
10068,Apollo11,Breccia,Regolith,218,67.23
10069,Apollo11,Basalt,Ilmenite,119.5,61.09
10070,Apollo11,Breccia,Regolith,60.16,112.5
10071,Apollo11,Basalt,Ilmenite,189.5,68.02
10072,Apollo11,Basalt,Ilmenite,447,15.22
10073,Apollo11,Breccia,Regolith,124.5,64.25
10074,Apollo11,Breccia,Regolith,55.5,99.12
10075,Apollo11,Breccia,Regolith,53,67.66
10082,Apollo11,Breccia,Regolith,50.5,93.11
10084,Apollo11,Soil,Unsieved,3830,60.08
10085,Apollo11,Soil,Unsieved,569,52.97
10086,Apollo11,Soil,Unsieved,823,0.01
10087,Apollo11,Soil,Unsieved,17.4,4.6
10089,Apollo11,Soil,Unsieved,50,0
10090,Apollo11,Soil,Unsieved,12,0
10091,Apollo11,Breccia,Regolith,0,0
10092,Apollo11,Basalt,Ilmenite,46,83.92
10093,Apollo11,Breccia,Regolith,25.85,93.11
10094,Apollo11,Breccia,Regolith,30.25,92.64
12001,Apollo12,Soil,Unsieved,2216,69.44
12002,Apollo12,Basalt,Olivine,1530,49.04
12003,Apollo12,Soil,Unsieved,300,28.52
12004,Apollo12,Basalt,Olivine,585,85.53
12005,Apollo12,Basalt,Ilmenite,482,88.31
12006,Apollo12,Basalt,Olivine,206.4,0.53
12007,Apollo12,Basalt,Pigeonite,65.2,72.72
12008,Apollo12,Basalt,Ilmenite,58.4,57.71
12009,Apollo12,Basalt,Olivine,468.2,88.43
12010,Apollo12,Breccia,Regolith,360,87.53
12011,Apollo12,Basalt,Pigeonite,193,93.49
12012,Apollo12,Basalt,Olivine,176.2,91.92
12013,Apollo12,Breccia,Fragmental,82.3,75.62
12014,Apollo12,Basalt,Olivine,159.4,91.18
12015,Apollo12,Basalt,Olivine,191.2,93.52
12016,Apollo12,Basalt,Ilmenite,2028,100.08
12017,Apollo12,Basalt,Pigeonite,53,62.45
12018,Apollo12,Basalt,Olivine,787,57.05
12019,Apollo12,Basalt,Pigeonite,462.4,97.14
12020,Apollo12,Basalt,Olivine,312,76.65
12021,Apollo12,Basalt,Pigeonite,1877,85.78
12022,Apollo12,Basalt,Ilmenite,1864,79.76
12023,Apollo12,Special,,407.9,66.89
12024,Apollo12,Soil,Unsieved,56.5,65.87
12025,Apollo12,Core,Unsieved,56.1,163.41
12026,Apollo12,Core,Unsieved,101.4,53.28
12027,Apollo12,Core,Unsieved,80,48.5
12028,Apollo12,Core,Unsieved,189.6,27.56
12029,Apollo12,Soil,Unsieved,6.5,0
12030,Apollo12,Soil,Unsieved,75,68.66
12031,Apollo12,Basalt,Pigeonite,185,97.18
12032,Apollo12,Soil,Unsieved,310.5,69.52
12033,Apollo12,Soil,Unsieved,450,68.27
12034,Apollo12,Breccia,Regolith,155,90.62
12035,Apollo12,Basalt,Olivine,71,48.54
12036,Apollo12,Basalt,Olivine,75,73.01
12037,Apollo12,Soil,Unsieved,145,74.75
12038,Apollo12,Basalt,Feldspathic,746,80.5
12039,Apollo12,Basalt,Pigeonite,255,90.37
12040,Apollo12,Basalt,Olivine,319,71.11
12041,Apollo12,Soil,Unsieved,19.3,41.4
12042,Apollo12,Soil,Unsieved,255,61.64
12043,Apollo12,Basalt,Pigeonite,60,94.83
12044,Apollo12,Soil,Unsieved,92,99.17
12045,Apollo12,Basalt,Ilmenite,63,83.91
12046,Apollo12,Basalt,Ilmenite,166,96.59
