ID,points,possessions,team_pace,Unnamed: 4,Unnamed: 5,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER
1,1893,1251.8,97.8,,,63,33.9,0.569,17.2,11.5,26.1,4.7,23.3,7.8,10.9
2,1386,1282.5,110.5,,,58,32.5,0.511,24.8,9.7,26.9,6.1,0.9,10.7,27.3
3,1405,1252.3,105.8,,,55,36.3,0.605,25.7,13.9,28.1,4.5,4.9,1.8,
4,1282,1235.9,100.7,,,54,37.6,0.636,29.5,11,22.3,4.8,4.6,5.6,22.35
5,1721,1254,105.7,,,59,30.5,0.589,22.8,9.9,24.6,1.2,8.4,12.1,28.38
6,1004,1322.4,102.1,,,57,36.3,0.574,20.3,13.5,31,1.2,20.5,3.4,9.83
7,1920,1207.6,109.8,,,55,37,0.573,26,13.1,30.7,0,10.3,-2.6,8.71
8,1353,1348.1,112.2,,,57,,0.574,24.4,11.3,26.3,5.5,5.8,-2.2,
9,,,,,,54,31.7,0.577,24.6,14.4,35.7,2.5,14.1,-4.6,4.68
10,1468,1400.9,93.7,,,61,35.6,0.547,22.9,12.2,22.7,5.8,6.4,-2.9,
11,1856,1303.8,93.4,,,55,33.6,0.563,28.9,14.7,26.7,1.4,17.3,4.3,9.67
12,1058,1231.5,99.4,,,63,32.8,0.55,25.1,12.9,27.2,2.1,12.1,11.4,22.97
13,1452,1246.1,103.6,,,,31.7,0.584,32.4,14.7,16.5,3.2,19,4.1,
14,1438,1499.6,108.1,,,60,35,0.569,28.6,12.2,36.2,4.9,6,7.4,27.57
15,1782,1329,104.6,,,51,,0.59,26.5,9.9,29.7,3.1,29.4,5.5,9.38
16,1276,1257.5,89.7,,,58,32.8,0.572,15.5,16.2,23.8,3.4,15.4,6,9.49
17,1486,1343.6,100.6,,,,34.9,0.603,26.2,11.1,36.7,3,14.3,5.3,
18,1326,1542,107.8,,,52,31.8,0.583,25.3,11.7,30.6,3.3,9.9,5.3,19.78
19,1535,1336.2,104,,,56,35.4,0.636,27.2,10.8,29.9,0.7,5.6,7.9,30.44
20,,,,,,57,34,0.526,28.3,11.7,25.6,3.1,4.7,1,11.57
21,1276,1354.9,101.2,,,50,,0.56,21.4,12.4,28.6,2.6,9.3,10.3,24.23
22,1784,1287.1,101.3,,,59,33.8,0.601,27.2,12.4,21.8,2.9,5.2,9.9,25.15
23,1729,1205,103.8,,,61,,0.645,20.6,13.1,31.5,4,12,5.2,
24,1639,1287.4,105.2,,,52,35.4,0.57,32.7,15,26.6,1.6,5,9.4,25.12
25,,,,,,59,34.9,0.578,16.9,11.8,28.7,2.8,14.1,3,12.27
26,1370,1384.7,103.3,,,,34.2,0.571,14.8,9.9,33.1,2.4,16.3,3.7,15.04
27,1497,1410.9,98.3,,,57,34.1,0.613,15.4,10,29.3,3.8,5.7,6.7,25.35
28,1313,1420.5,105,,,48,35.1,0.569,19,10.9,29.2,4.6,17.7,5.2,
29,1464,1353.4,103.3,,,63,34.4,0.595,17.9,9.2,29.3,1,8.7,4.1,20.49
30,1645,1415.7,109.8,,,,,,,,,,,,
31,2049,1434,110,,,64,38.8,0.619,31.5,14.9,35.5,8.3,17.6,12.8,28.44
32,1795,1481.8,112.1,,,62,35.4,0.608,31.9,14.5,32,6.5,22.5,12.9,23.34
33,1805,1509.9,108.6,,,64,35.4,0.622,27.9,13.9,36,5.9,27.7,12.2,22.41
34,1743,1422.4,112.9,,,64,36.3,0.619,30.9,15.6,34.5,5.9,18.9,14.8,
35,1963,1539.1,117.4,,,,,0.633,32.3,16.2,34,5.9,19.8,13.1,27.16
36,2062,1505.7,111.5,,,,37,0.62,29.8,15.6,36.2,4.9,23.9,14.7,27.86
37,1845,1435.7,113.1,,,69,36.9,0.634,33.2,14,36.5,4.1,21.5,16.4,34.26
38,1778,1526.4,109.3,,,66,34.9,0.612,30.6,15.9,35.9,5.5,18.8,13.7,28.65
39,1901,1444.1,109.7,,,67,36.5,0.609,27.2,14.8,35.5,5,21.8,8.9,20.12
40,183,147.3,118.1,,,63,37.5,0.623,31.2,13.5,34.7,6.3,18.7,13.6,29.81
41,2030,1431,112.3,,,68,37,0.618,32.5,15.3,34.5,5.7,15.7,13.2,30.07
42,1631,1465.7,110.1,,,66,37.5,0.613,28.4,14.4,35.7,6.5,20.7,14,28.4
43,1828,1507.2,112.7,,,64,36.5,0.618,31.3,14,34.9,5.9,21.3,14.5,
44,1821,1443.7,118.8,,,66,36.6,0.609,27.3,13.5,35.8,7,23.8,11.5,22.96
45,1740,1443.9,114.1,,,68,37.1,0.611,26.6,15.2,29.3,8.3,17.7,11.1,21.22
46,1993,1459,112.5,,,,36.9,0.627,30.4,15,33.7,6.3,19.3,14.1,28.76
